productid,productname,productimages,productdescription,productsku,productminmaxquantity,productpriceselling,productstatus,productinventory,productcategory,productpricecost,productpricecompare,producttax_percent,productlabels,producttags
"","London Brick Company LBC Facing Brick Commons - Pack of 390","https://dam-assets.apps.travisperkins.group/v448rn3/GPID_1000194125_IMG_00.jpg","This original London Brick sometimes known as a fletton has been used for over 130 years and is a tried and tested brick, it does not have a decorative face like many bricks but can still be used as a facing brick if required, main uses are more functional, below DPC, non visible walls, garden use, outbuildings etc.","2274074376","1,1",623.41,"ACTIVE",1,"Building Materials",542.1,"",20
"","Fillcrete Brickfill Expansion Joint Roll 10mm x 100mm x 10m","https://dam-assets.apps.travisperkins.group/lx2ag/GPID_1000198648_IMG_00.jpeg","The expansion joint roll from Fillcrete Brickfill consists of cross linked polyethylene foams suitable for brick and blockwork expansion and movement joints. It is handy and lightweight. 10 rolls per pack.","5771376934","1,5",12.91,"ACTIVE",5,"Building Materials",11.23,"",20
"","Fillcrete Expansion Joint Brickfill Roll 10mm x 150mm x 10m","https://dam-assets.apps.travisperkins.group/K6o3d/GPID_1000198649_IMG_00.jpeg","10mm 150 x 10,000 rolls of Brickfill closed cell cross linked polyethylene foams for all your requirements for brick and blockwork expansion and movement joints packed in 10 rolls per merchant pack.","2240273300","1,12",19.93,"ACTIVE",12,"Building Materials",17.33,"",20
"","Brick Slips Tile Blend 1 - Box of 35 Tiles - 0.6m2","https://dam-assets.apps.travisperkins.group/n8446/GPID_1100743941_IMG_00.jpg","Blend 1 Brick Tile is a blend of light and dark brown tones, providing the unique variety that makes exposed brick so attractive. As part of our reclaimed collection, blend 1 has a tumbled texture, with more rounded corners and a weathered face to create that rustic effect that can really elevate the look of any space","6077065688","1,10",44.95,"ACTIVE",10,"Building Materials",39.09,"",20
"","Ndc Polipak Dpc 300mm x 30m","https://dam-assets.apps.travisperkins.group/xgyq4d7/GPID_1100895487_IMG_00.jpg","Damplas Damp Proof Course (DPC), 30m x 300mm","1060637984","1,9",16.56,"ACTIVE",9,"Building Materials",14.4,"",20
"","Ndc Polipak Dpc 600mm x 30m","https://dam-assets.apps.travisperkins.group/vne385g/GPID_1100895498_IMG_00.jpg","Damplas Damp Proof Course (DPC), 30m x 600mm","9684246494","1,4",33.10,"ACTIVE",4,"Building Materials",28.78,"",20
"","Ndc Polipak Dpc 450mm x 30m","https://dam-assets.apps.travisperkins.group/om53j0n/GPID_1100895497_IMG_00.jpg","Damplas Damp Proof Course (DPC), 30m x 450mm","7178629771","1,7",24.83,"ACTIVE",7,"Building Materials",21.59,"",20
"","Ndc Polipak Dpc 150mm x 30m","https://dam-assets.apps.travisperkins.group/xkgm5lz/GPID_1100895499_IMG_00.jpg","Damplas Damp Proof Course (DPC), 30m x 150mm","3787420373","1,4",8.28,"ACTIVE",4,"Building Materials",7.2,"",20
"","Ndc Polipak Dpc 225mm x 30m","https://dam-assets.apps.travisperkins.group/v16m03z/GPID_1100895500_IMG_00.jpg","Damplas Damp Proof Course (DPC), 30m x 225mm","1798819739","1,7",12.42,"ACTIVE",7,"Building Materials",10.8,"",20
"","Ndc Polipak Dpm 4m x 25m 250mu","https://dam-assets.apps.travisperkins.group/x7l141l/GPID_1100895489_IMG_00.jpg","Damplas Damp Proof Membrane, 250mu, 4m x 25m, Black","6797763216","1,8",47.94,"ACTIVE",8,"Building Materials",41.69,"",20
