productid,productname,productimages,productdescription,productsku,productminmaxquantity,productpriceselling,productstatus,productinventory,productcategory,productpricecost,productpricecompare,producttax_percent,productlabels,producttags
"","Durapost Bolt Down Galvanised 150mm Home Delivered","https://dam-assets.apps.travisperkins.group/BBzZN/GPID_1100749063_IMG_00.jpg","This bolt down enables the post to be mounted on top of a wall or hard standing surface if setting the post in the ground is not an option.","368514","1,0",15.82,"INACTIVE",0,"Fencing & Trellis",13.76
"","Vertical Tongue & Groove Gate 900mm x 1830mm","https://dam-assets.apps.travisperkins.group/om5k18z/GPID_1100607858_IMG_00.jpg","The 6ft Vertical Tongue & Groove Gate from Forest is made with high-quality 12mm interlocking boards, creating a strong and robust gate.
It uses the same construction as Forest's Vertical Tongue & Groove Fence Panels making an ideal match, as well as being a stylish stand-alone gate that is ideal for side-accesses to back gardens.
Housed in a rebated frame this is a substantial gate that looks great and offers a high level of security. Made from Pressure Treated timber with a 15 year guarantee against rot and decay.
Gate fixings are sold separately.","473794","1,0",190.60,"INACTIVE",0,"Gates & Railings",165.74
"","Horizontal Tongue & Groove Gate 900mm x 1830mm","https://dam-assets.apps.travisperkins.group/oq4kwgl/GPID_1100607857_IMG_00.jpg","The 6ft Horizontal Tongue & Groove Gate from Forest is made with high-quality 12mm interlocking boards, creating a strong and robust gate.
It uses the same construction as Forest's Horizontal Tongue & Groove Fence Panels making an ideal match, as well as being a stylish stand-alone gate that is ideal for side-accesses to back gardens.
Housed in a rebated frame this is a substantial gate that looks great and offers a high level of security. Made from Pressure Treated timber with a 15 year guarantee against rot and decay.
Gate fixings are sold separately.","578088","1,0",189.73,"INACTIVE",0,"Gates & Railings",164.98
"","Mapei Ultrabond S997 1K Silicone Free Ready to Use Flooring Adhesive 600CC","https://dam-assets.apps.travisperkins.group/WGXkm/GPID_1000502128_IMG_00.jpeg","One-component polymer-based adhesive for installing engineered wooden boards with beads of adhesive","440764","1,0",14.12,"INACTIVE",0,"Flooring",12.28
"","String Course SC1 Bath 890 x 130 x 140","https://dam-assets.apps.travisperkins.group/o0nqjdj/GPID_1100973370_IMG_00.png","String Course SC1 Bath 890 x 130 x 140","202882","1,0",136.71,"INACTIVE",0,"Bricks & Blocks",118.88
"","String Course SC1 Bath 90D Ext Rtn","https://dam-assets.apps.travisperkins.group/v96ne3j/GPID_1100977201_IMG_00.png","String Course SC1 Bath 90D Ext Rtn","295552","1,0",55.13,"INACTIVE",0,"Bricks & Blocks",47.94
"","String Course SC1 Bath 90D Int Rtn","https://dam-assets.apps.travisperkins.group/o50yq64/GPID_1100977202_IMG_00.png","String Course SC1 Bath 90D Int Rtn","173473","1,0",55.13,"INACTIVE",0,"Bricks & Blocks",47.94
"","ROM Concrete Reinforcing Steel Bar High Yield Rebar T10 3000mm x 10mm","https://dam-assets.apps.travisperkins.group/xLOoB/GPID_1000391593_IMG_00.jpeg","This concrete rebar from ROM is a standard reinforcing steel rod designed for use as a tension device in concrete structures to strengthen and hold the concrete together. Versatile and durable, it can be cut to the desired size and welded into position and set in place before concrete is poured.","498477","1,130",14.82,"ACTIVE",130,"Civils & Drainage",12.89
"","ROM Concrete Reinforcing Steel Bar High Yield Rebar T16 3000mm x 16mm","https://dam-assets.apps.travisperkins.group/v6ww3m3/GPID_1000391596_IMG_00.jpeg","This concrete rebar from ROM is a standard reinforcing steel rod designed for use as a tension device in concrete structures to strengthen and hold the concrete together. Versatile and durable, it can be cut to the desired size and welded into position and set in place before concrete is poured.","610019","1,0",27.78,"INACTIVE",0,"Civils & Drainage",24.16
"","String Course SC1 Bath 890 x 130 x 140","https://dam-assets.apps.travisperkins.group/o0nqjdj/GPID_1100973370_IMG_00.png","String Course SC1 Bath 890 x 130 x 140","517981","1,0",136.71,"INACTIVE",0,"Lintels",118.88
